Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,CountryCode,CountryName,Population,DeathsPop,CasesPop
World,2936386,"+16,982",203703.0,539.0,841286.0,1891397,57824.0,377.0,26.1,0.0,0.0,WRL,Global,7600000000.0,2,38
USA,960896,+245,54265.0,9.0,118162.0,788469,15110.0,2903.0,164.0,5279237.0,15949.0,USA,United States,327167434.0,16,293
Italy,195351,0,26384.0,0.0,63120.0,105847,2102.0,3231.0,436.0,1707743.0,28245.0,ITA,Italy,60431283.0,43,323
Spain,223759,0,22902.0,0.0,95708.0,105149,7705.0,4786.0,490.0,930230.0,19896.0,ESP,Spain,46723749.0,49,478
France,161488,0,22614.0,0.0,44594.0,94280,4725.0,2474.0,346.0,463662.0,7103.0,FRA,France,66987244.0,33,241
UK,148377,0,20319.0,0.0,0.0,127714,1559.0,2186.0,299.0,640792.0,9439.0,GBR,United Kingdom,66488991.0,30,223
Belgium,46134,+809,7094.0,177.0,10785.0,28255,891.0,3981.0,612.0,189067.0,16313.0,BEL,Belgium,11422068.0,62,403
Germany,156513,0,5877.0,0.0,109800.0,40836,2570.0,1868.0,70.0,2072669.0,24738.0,DEU,Germany,82927922.0,7,188
Iran,90481,"+1,153",5710.0,60.0,69657.0,15114,3079.0,1077.0,68.0,421313.0,5016.0,IRN,Iran,81800269.0,6,110
China,82827,+11,4632.0,0.0,77394.0,801,51.0,58.0,3.0,0.0,0.0,CHN,China,1392730000.0,<1,5
Netherlands,37190,0,4409.0,0.0,0.0,32531,959.0,2170.0,257.0,193950.0,11319.0,NLD,Netherlands,17231017.0,25,215
Brazil,59324,+128,4057.0,12.0,29160.0,26107,8318.0,279.0,19.0,291922.0,1373.0,BRA,Brazil,209469333.0,1,28
Turkey,107773,0,2706.0,0.0,25582.0,79485,1782.0,1278.0,32.0,868565.0,10298.0,TUR,Turkey,82319724.0,3,130
Canada,45354,0,2465.0,0.0,16425.0,26464,557.0,1202.0,65.0,684271.0,18130.0,CAN,Canada,37058856.0,6,122
Sweden,18177,0,2192.0,0.0,1005.0,14980,547.0,1800.0,217.0,94500.0,9357.0,SWE,Sweden,10183175.0,21,178
Switzerland,28894,0,1607.0,8.0,21300.0,5987,204.0,3339.0,186.0,245300.0,28343.0,CHE,Switzerland,8516543.0,18,339
Mexico,13842,+970,1305.0,84.0,7149.0,5388,378.0,107.0,10.0,65500.0,508.0,MEX,Mexico,126190788.0,1,10
Ireland,18561,0,1063.0,0.0,9233.0,8265,142.0,3759.0,215.0,127319.0,25785.0,IRL,Ireland,4853506.0,21,382
Portugal,23392,0,880.0,0.0,1277.0,21235,186.0,2294.0,86.0,330512.0,32414.0,PRT,Portugal,10281762.0,8,227
India,26496,+213,825.0,0.0,5939.0,19732,0.0,19.0,0.6,625309.0,453.0,IND,India,1352617328.0,<1,1
Russia,80949,"+6,361",747.0,66.0,6767.0,73435,2300.0,555.0,5.0,2877699.0,19719.0,RUS,Russia,144478050.0,<1,56
Indonesia,8882,+275,743.0,23.0,1107.0,7032,0.0,32.0,3.0,72099.0,264.0,IDN,Indonesia,267663435.0,<1,3
Peru,25331,0,700.0,0.0,7797.0,16834,545.0,768.0,21.0,218195.0,6618.0,PER,Peru,31989256.0,2,79
Romania,11036,+401,608.0,7.0,3054.0,7374,236.0,574.0,32.0,136518.0,7096.0,ROU,Romania,19473936.0,3,56
Ecuador,22719,0,576.0,0.0,1366.0,20777,127.0,1288.0,33.0,56513.0,3203.0,ECU,Ecuador,17084357.0,3,132
Austria,15225,+77,542.0,6.0,12282.0,2401,145.0,1690.0,60.0,227631.0,25274.0,AUT,Austria,8847037.0,6,172
Poland,11395,+122,526.0,2.0,2265.0,8604,160.0,301.0,14.0,278994.0,7372.0,POL,Poland,37978548.0,1,30
Philippines,7579,+285,501.0,7.0,862.0,6216,1.0,69.0,5.0,84789.0,774.0,PHL,Philippines,106651922.0,<1,7
Algeria,3256,0,419.0,0.0,1479.0,1358,40.0,74.0,10.0,6500.0,148.0,DZA,Algeria,42228429.0,<1,7
Denmark,8445,0,418.0,0.0,5669.0,2358,70.0,1458.0,72.0,136738.0,23607.0,DNK,Denmark,5797446.0,7,145
Japan,13231,0,360.0,0.0,1656.0,11215,287.0,105.0,3.0,147454.0,1166.0,JPN,Japan,126529100.0,<1,10
Egypt,4319,0,307.0,0.0,1114.0,2898,0.0,42.0,3.0,90000.0,879.0,EGY,Egypt,98423595.0,<1,4
